"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"   433 Eros (A898 PA)",1.458,0.2228,10.83,304.27,178.93,1.133,1.78,1.76,46582,0,9130,4,2,10.39
"   887 Alinda (A918 AA)",2.474,0.5712,9.40,110.41,350.53,1.061,3.89,3.89,39281,0,5878,16,0,13.81
"  1036 Ganymed (A924 UB)",2.665,0.5332,26.68,215.44,132.50,1.244,4.09,4.35,36870,0,12606,0,1,9.18
"  1221 Amor (1932 EA1)",1.92,0.4346,11.87,171.24,26.76,1.085,2.75,2.66,33947,0,686,,,17.37
"  1566 Icarus (1949 MA)",1.078,0.8270,22.80,87.95,31.44,0.186,1.97,1.12,27807,0,1792,10,13,16.53
"  1580 Betulia (1950 KA)",2.195,0.4876,52.19,62.22,159.72,1.125,3.27,3.25,26640,0,2148,5,7,14.61
"  1620 Geographos (1951 RA)",1.246,0.3355,13.34,337.14,277.02,0.828,1.66,1.39,27046,0,8187,3,4,15.27
"  1627 Ivar (1929 SH)",1.863,0.3973,8.46,133.07,167.84,1.123,2.60,2.54,34962,0,14422,3,1,12.79
"  1685 Toro (1948 OA)",1.368,0.4360,9.38,274.21,127.28,0.771,1.96,1.6,28032,0,5072,7,2,14.28
"  1862 Apollo (1932 HA)",1.471,0.5599,6.35,35.54,286.05,0.647,2.29,1.78,34421,0,3473,8,9,16.08
"  1863 Antinous (1948 EA)",2.26,0.6063,18.38,345.55,269.07,0.890,3.63,3.4,27993,0,1375,,,15.46
"  1864 Daedalus (1971 FA)",1.461,0.6144,22.22,6.60,325.66,0.563,2.36,1.77,19770,0,6507,1,0,14.84
"  1865 Cerberus (1971 UA)",1.08,0.4669,16.10,212.88,325.29,0.576,1.58,1.12,19679,0,2400,,,16.79
"  1866 Sisyphus (1972 XA)",1.893,0.5381,41.21,63.45,293.10,0.875,2.91,2.61,25677,0,9672,0,1,12.48
"  1915 Quetzalcoatl (1953 EA)",2.545,0.5702,20.40,162.92,347.76,1.094,4.00,4.06,24702,0,55,0,1,18.38
"  1916 Boreas (1953 RA)",2.273,0.4492,12.88,340.60,335.85,1.252,3.29,3.43,26331,0,3465,,,14.92
"  1917 Cuyo (1968 AA)",2.149,0.5055,23.96,188.27,194.55,1.063,3.24,3.15,25947,0,4115,0,2,14.38
"  1943 Anteros (1973 EC)",1.431,0.2559,8.71,246.29,338.44,1.064,1.80,1.71,19167,0,5768,,,15.69
"  1980 Tezcatlipoca (1950 LA)",1.709,0.3647,26.87,246.54,115.47,1.086,2.33,2.23,27371,0,8203,,,13.81
